耀#shine
枅#rafter
伊#Italy
預#deposit#預ける#あずける#deposit, entrust#預かる#あずかる#receive on deposit, take charge of#預金#よきん#deposit, bank account
薙#mow down (the enemy)
亟#*fast*
洞#den
礦#mine
鶩#domestic duck
河#river#河口#かこう#river mouth, estuary
吸#suck#吸う#すう#inhale, suck#吸収#きゅうしゅう#absorption, merger#呼吸#こきゅう#breathing, respiration#吸い込む#すいこむ#inhale, suck in
娼#prostitute
鴾#crested ibis
晄#*clear*
談#discuss#会談#かいだん#conversation, meeting#相談#そうだん#consultation, advice#冗談#じょうだん#joke#雑談#ざつだん#chat, idle talk#対談#たいだん#interview
反#anti-#反対#はんたい#oppose, object#違反#いはん#violation, breach#反発#はんぱつ#reaction, backlash#反映#はんえい#reflection#反応#はんのう#reaction, response#反省#はんせい#reflection, repentance#反論#はんろん#objection, counterargument#反射#はんしゃ#reflection#反する#はんする#oppose, act contrary to#反感#はんかん#ill feeling, antipathy#反則#はんそく#foul, rule violation
牌#signboard
姑#mother-in-law
織#weave#組織#そしき#organization, constitution, tissue#織物#おりもの#cloth, textile
旙#a pennant
遠#distant#遠い#とおい#far, distant#遠く#とおく#great distance#遠慮#えんりょ#reserve, hesitation, forethought#遠足#えんそく#excursion, hike#永遠#えいえん#eternity#待ち遠しい#まちどおしい#just can't wait for, long for
知#know#知る#しる#know#知らせる#しらせる#let know, inform#知り合う#しりあう#get acquainted with#知れる#しれる#become known, be found out#承知#しょうち#consent, knowledge#知り合い#しりあい#acquaintance#知らせ#しらせ#information, notice#知らず知らず#しらずしらず#unawares, without knowing it#知らず知らず#しらずしらず#unawares, without knowing it#知識#ちしき#knowledge#知事#ちじ#governor#知的#ちてき#intellectual, mental#未知#みち#unknown#通知#つうち#notification#知能#ちのう#intelligence, mental capacity#無知#むち#ignorance#物知り#ものしり#knowledgeable person, know-it-all#知人#ちじん#acquaintance, friend
除#exclude#除く#のぞく#rid of, exclude#掃除#そうじ#cleaning#掃除機#そうじき#vacuum cleaner#削除#さくじょ#deletion, elimination
緩#slacken#緩い#ゆるい#slack, loose#緩める#ゆるめる#loosen, unloose#緩やか#ゆるやか#slack, loose#緩む#ゆるむ#slacken, be loose
彪#spotted
壻#son-in-law
廿#twenty
覆#capsize#覆う#おおう#cover, hide
瀋#juice
簓#bamboo whisk
鮒#*carp*
舗#shop
檜#*Japanese cypress*
踟#*hesitate*
儡#*defeat*
崩#crumble#崩れる#くずれる#crumble, collapse#崩す#くずす#destroy, break
粨#hectometre
芬#*perfume*
袰#hood
冶#melting
骼#bleached bones
鍍#plating
饑#*hunger*
屓#exerting strength (aikido)
湟#*name of Chinese river*
瑣#*small*
峨#high mountain
括#fasten#括弧#かっこ#parentheses, brackets
併#join
滴#drip
瓸#100 grams
鹿#deer#馬鹿#ばか#fool, nonsense
悁#worry
贈#presents#贈る#おくる#offer, give#贈り物#おくりもの#present, gift
上#above#上げる#あげる#raise, improve#上る#のぼる#go up#上手#じょうず#good, skilled#上#うえ#up, above#以上#いじょう#not less than, more than#上がる#あがる#go up, rise#上昇#じょうしょう#ascension, rising#上着#うわぎ#coat, jacket#上がる#あがる#get nervous, get stage fright#年上#としうえ#older, senior#上り#のぼり#going up, ascent#上がる#あがる#be completed#向上#こうじょう#improvement#売り上げ#うりあげ#sales, proceeds#上がる#あがる#eat, drink#上旬#じょうじゅん#beginning of the month#打ち上げる#うちあげる#shoot up#上司#じょうし#boss#仕上げ#しあげ#completion, finishing#仕上げる#しあげる#finish, complete#上流#じょうりゅう#upstream#屋上#おくじょう#housetop, roof#上級#じょうきゅう#higher grade, advanced class#上達#じょうたつ#progress, proficiency#最上#さいじょう#best, highest#起き上がる#おきあがる#get up, rise#上品#じょうひん#elegance, refinement#上等#じょうとう#first-class, premium#差し上げる#さしあげる#respectfully give#上下#じょうげ#top and bottom#上#じょう#upper, best#海上#かいじょう#maritime#上下#うえした#above and below#上#かみ#superiors, people in authority#地上#ちじょう#above ground#取り上げる#とりあげる#take up, confiscate#値上がり#ねあがり#price rise#値上げ#ねあげ#price hike#引き上げる#ひきあげる#pull up, salvage#立ち上がる#たちあがる#stand up, take action#盛り上げる#もりあげる#build up excitement#頂上#ちょうじょう#summit, climax#見上げる#みあげる#look up#出来上がる#できあがる#be completed, be finished#申し上げる#もうしあげる#speak humbly, do#召し上がる#めしあがる#eat, drink#作り上げる#つくりあげる#make up, build up#飛び上がる#とびあがる#fly up, jump up#目上#めうえ#one's superiors, one's elders#出来上がり#できあがり#completion, finish#陸上#りくじょう#land, shore#盛り上がる#もりあがる#become lively, get fired up
后#empress
碑#tombstone
餐#swallow
怖#dreadful#怖い#こわい#fearful, be afraid#怖がる#こわがる#be afraid of, fear
蒙#ignorance
砦#fort
憫#*anxiety*
枯#die#枯れる#かれる#wither, die#木枯らし#こがらし#cold wintry wind
伴#consort#伴う#ともなう#accompany, go with
逶#oblique
唸#groan
鰾#fish bladder
釋#explain
勍#*strong*
壑#*valley*
祐#*help*
鷓#*partridge*
罔#*net*
蕘#firewood
譜#musical score
盥#washbasin
靤#*pimple*
橲#*used in proper names*
号#nickname#信号#しんごう#signal, traffic light#番号#ばんごう#number, serial number#記号#きごう#symbol, mark
姻#matrimony
発#discharge#開発#かいはつ#development#発表#はっぴょう#announcement#発生#はっせい#occurrence, happening#発言#はつげん#utterance, speech#発見#はっけん#discovery, revelation#出発#しゅっぱつ#departure, starting#発車#はっしゃ#start, leave#活発#かっぱつ#lively, active#始発#しはつ#first departure#発売#はつばい#sale, selling#発つ#たつ#start, leave#発展#はってん#expansion, prosperity#発行#はっこう#publication, issue#反発#はんぱつ#reaction, backlash#発達#はったつ#development, growth#爆発#ばくはつ#explosion, eruption#発明#はつめい#invention#発電#はつでん#generation of electricity#発音#はつおん#pronunciation#発電所#はつでんしょ#power plant, generating station#発熱#はつねつ#generation of heat, get a fever
忿#*be angry*
籾#unhulled rice
躊#*hesitate*
茗#*tea*
輟#*stop*
倡#*prostitute*
鬧#dispute hotly
稽#think#稽古#けいこ#practice, learning
岾#*used in proper names*
拂#clear out
棆#*camphor tree*
克#overcome
坏#*bowl*
竒#strangeness
捗#make progress
胖#half a sacrifice
潟#lagoon
賞#prize#賞#しょう#prize, award#鑑賞#かんしょう#viewing, enjoyment (of art)#賞品#しょうひん#prize, trophy#観賞#かんしょう#ornamental#ノーベル賞#ノーベルしょう#Nobel Prize
几#table
筧#waterpipe
巨#gigantic#巨大#きょだい#huge, gigantic
腫#tumor
赳#strong and brave
萄#grape vine
踈#careless
鰔#flatfish
閥#clique#派閥#はばつ#clique, faction
符#token#切符#きっぷ#ticket
披#expose
嘸#indeed
鼾#snoring
所#place#場所#ばしょ#place, space#事務所#じむしょ#office, one's place of business#近所#きんじょ#neighborhood#台所#だいどころ#kitchen#住所#じゅうしょ#one's dwelling, address#停留所#ていりゅうじょ#stop, station#洗面所#せんめんじょ#washroom, bathroom#便所#べんじょ#lavatory, bathroom#所得#しょとく#income, earnings#裁判所#さいばんしょ#courthouse#所属#しょぞく#belonging, attachment#刑務所#けいむしょ#prison#市役所#しやくしょ#municipal office, city hall#区役所#くやくしょ#ward office#至る所#いたるところ#everywhere, all over#現住所#げんじゅうしょ#present address#役所#やくしょ#public office#長所#ちょうしょ#strong point, merit#発電所#はつでんしょ#power plant, generating station#派出所#はしゅつじょ#branch office, police box#短所#たんしょ#shortcoming, defect#所々#ところどころ#here and there, at places#名所#めいしょ#noted place, sights
凍#frozen#凍る#こおる#freeze, congeal#冷凍#れいとう#freezing, cold storage
灌#*pour*
穐#autumn
籔#bush
槝#mooring pole
佞#flattery
兢#careful
学#study#大学#だいがく#university, college#学生#がくせい#student#学校#がっこう#school#留学生#りゅうがくせい#student studying abroad#大学生#だいがくせい#university student#小学校#しょうがっこう#elementary school#中学#ちゅうがく#junior high school#科学#かがく#science#留学#りゅうがく#studying abroad#数学#すうがく#mathematics#入学#にゅうがく#enter a school, matriculate#中学生#ちゅうがくせい#junior high school student#中学校#ちゅうがっこう#junior high school#小学生#しょうがくせい#schoolchildren, schoolboy#進学#しんがく#entering a school of higher grade#大学院#だいがくいん#graduate school#見学#けんがく#observation tour, study tour, field trip#通学#つうがく#attending school, going to school#高等学校#こうとうがっこう#senior high school#学習#がくしゅう#study, learning#学者#がくしゃ#scholar#学問#がくもん#learning, scholarship#医学#いがく#medical science, medicine#化学#かがく#chemistry#科学者#かがくしゃ#scientist#学会#がっかい#academic association, academic conference#学年#がくねん#school year, grade#工学#こうがく#engineering#学長#がくちょう#college president#学歴#がくれき#educational history#奨学金#しょうがくきん#scholarship, fellowship#語学#ごがく#language study#学科#がっか#subject, department#学期#がっき#school term#工学部#こうがくぶ#department of engineering#学費#がくひ#school expenses, tuition#在学#ざいがく#attendance at school#学部#がくぶ#faculty, department#学力#がくりょく#scholastic performance, academic ability#学説#がくせつ#theory#学園#がくえん#educational institution, school#自然科学#しぜんかがく#natural science#新学期#しんがっき#new term, new semester#人文科学#じんぶんかがく#humanities#休学#きゅうがく#leave of absence, absence#社会科学#しゃかいかがく#social sciences#学割#がくわり#student discount#学ぶ#まなぶ#learn, study#文学#ぶんがく#literature#哲学#てつがく#philosophy#法学部#ほうがくぶ#law department#退学#たいがく#withdrawal from school#文学者#ぶんがくしゃ#literary person, literati#短期大学#たんきだいがく#junior college
翩#fluttering of flag
臭#stinking#臭い#くさい#ill-smelling, stinking#臭い#におい#smell, odor#生臭い#なまぐさい#smelling of fish#臭う#におう#stink (unpleasant)#面倒臭い#めんどうくさい#troublesome, tiresome
践#tread
嫻#skillful
昃#go down
膂#backbone
予#beforehand#予定#よてい#schedule, plan#予約#よやく#reservation, subscription#天気予報#てんきよほう#weather forecast#予習#よしゅう#preparation, previewing (a lesson)#予想#よそう#prospect, expectation#予算#よさん#budget#予防#よぼう#prevention, protection#予備#よび#reserve, spare#予報#よほう#forecast, prediction#予言#よげん#prediction, forecast
越#surpass#引っ越す#ひっこす#move, change quarters#越える#こえる#go over, go across, go beyond#引っ越し#ひっこし#moving#追い越す#おいこす#outrun, overtake#越す#こす#go over, surmount#乗り越える#のりこえる#overcome, get over#乗り越し#のりこし#riding past one's stop#乗り越す#のりこす#ride past
岔#fork in a road
耗#decrease
暘#sunrise
訛#accent
匡#correct
犠#sacrifice#犠牲#ぎせい#sacrifice
弩#bow (arrow)
肬#goiter
誰#who#誰#だれ#who, whom#誰か#だれか#someone
洵#alike
貴#precious#貴重#きちょう#precious, valuable#貴重品#きちょうひん#article of value, valuables#貴い#とうとい#precious, valuable
厶#*I*
隸#prisoner
毆#fight with fists
轉#*shift*
剋#*victory*
配#distribute#配る#くばる#hand out, distribute, allot#配達#はいたつ#delivery#心配#しんぱい#anxiety, worry, good offices#支配#しはい#control, management#年配#ねんぱい#age, elderly age
魑#mountain spirits
秒#second (1/60 minute)
菖#iris
江#creek
勠#combine
廨#*government office*
艫#*bow*
葯#pollen pod at tip of stamen
遷#transition
相#inter-#首相#しゅしょう#prime minister#相手#あいて#opponent#相談#そうだん#consultation, advice#可哀相#かわいそう#poor, pitiable#外相#がいしょう#Minister of Foreign Affairs#真相#しんそう#the truth#相変わらず#あいかわらず#as usual, as before#相撲#すもう#sumo wrestling#相場#そうば#market price, speculation#相当#そうとう#correspondence, suitability#相互#そうご#mutual, reciprocal#相応しい#ふさわしい#suitable, appropriate
好#fond#好き#すき#favorite, liked#大好き#だいすき#love#好調#こうちょう#favorable condition#好む#このむ#like, be fond of#好み#このみ#taste, preference#好奇心#こうきしん#curiosity#好意#こうい#favor, affection#好き嫌い#すききらい#likes and dislikes, taste#格好#かっこう#shape, appearance
粕#scrap
或#some
垣#hedge
麩#light wheat-gluten bread
掫#var of N1924?
簪#*ornamental hairpin*
斯#thus
澳#curving shoreline
圸#steep slope
鐺#tip of a scabbard
綿#*cotton*#木綿#もめん#cotton#綿#めん#cotton
働#work#働く#はたらく#work#労働者#ろうどうしゃ#laborer, worker#労働#ろうどう#labor, toil#働き#はたらき#work, function
煌#glitter
筐#*bamboo basket*
曙#dawn
乞#beg#乞食#こじき#beggar
狡#cunning
鍠#sound of bells and drums
婦#lady#夫婦#ふうふ#husband and wife, married couple#看護婦#かんごふ#female nurse#主婦#しゅふ#housewife#産婦人科#さんふじんか#obstetrics and gynecology#婦人#ふじん#woman, lady
普#universal#普及#ふきゅう#diffusion, spread#普通#ふつう#normal, regular#普段#ふだん#usual, ordinary
諱#posthumous (real) name
俳#haiku#俳句#はいく#haiku#俳優#はいゆう#actor, actress
雹#hail
飽#sated#飽きる#あきる#be fed up
會#*meet*
侈#pride
貊#barbarians
册#counter for books
階#storey#段階#だんかい#stage#階段#かいだん#steps, flight of stairs#二階#にかい#second floor, upstairs
講#lecture#講演#こうえん#lecture#講師#こうし#speaker, lecturer#講義#こうぎ#lecture#講堂#こうどう#lecture hall, auditorium#休講#きゅうこう#cancellation of lecture
榜#name plate
羨#envious#羨ましい#うらやましい#envious, envy
馼#zebra with yellow eyes and red mane
蹉#*stumble*
泊#overnight#泊まる#とまる#stay overnight#泊める#とめる#lodge, give shelter
遍#everywhere#一遍に#いっぺんに#all at once#何遍#なんべん#how many times
問#ask#質問#しつもん#question#問題#もんだい#problem, question#疑問#ぎもん#question, doubt#学問#がくもん#learning, scholarship#問う#とう#ask, question#訪問#ほうもん#visit#問い合わせる#といあわせる#inquire, contact#問い#とい#question, inquiry#問答#もんどう#questions and answers, argument#問屋#とんや#wholesale store, wholesaler
当#appropriate#本当に#ほんとうに#really, truly#担当#たんとう#person in charge#当然#とうぜん#natural, as a matter of course#当たる#あたる#hit, strike#当時#とうじ#at that time, at the present time#弁当#べんとう#box lunch, picnic lunch#突き当たる#つきあたる#hit against, come to the end of#突き当たり#つきあたり#end of a street#本当#ほんとう#truth, reality#当てる#あてる#guess, hit the jackpot#当たり前#あたりまえ#of course, obvious#見当#けんとう#estimate, aim#当たり#あたり#hit, success#正当#せいとう#just, legal#当初#とうしょ#original, initial#当局#とうきょく#the authorities concerned#相当#そうとう#correspondence, suitability#当選#とうせん#election to office#当日#とうじつ#that day#適当#てきとう#suitable, appropriate#手当て#てあて#allowance, medical care#当分#とうぶん#for some time, for the present#割り当て#わりあて#assignment, allotment#割り当てる#わりあてる#assign, allot#当人#とうにん#the person in question#当番#とうばん#being on duty, person on duty#日当たり#ひあたり#exposure to the sun
歛#also N2426
蓚#(used only in compounds)
督#coach#監督#かんとく#supervisor, film director
郢#*place name*
嗤#*laugh*
髦#bangs
酷#cruel
鰐#alligator
箕#winnowing
座#squat#座る#すわる#sit, sit down#座席#ざせき#seat#座敷#ざしき#drawing room, Japanese-style room#座布団#ざぶとん#cushion#正座#せいざ#sitting upright with legs folded under one
撫#stroke#撫でる#なでる#stroke, pat
梳#comb (hair)
皷#*drum*
錺#metal jewelry
窿#vault (of sky)
餾#steaming rice
胃#stomach#胃#い#stomach#胃腸#いちょう#stomach and intestines
案#plan#提案#ていあん#proposition, proposal#案内#あんない#guide, inform#案#あん#plan, proposal#案外#あんがい#unexpectedly#案の定#あんのじょう#as feared, sure enough#答案#とうあん#examination paper, answer
癌#cancer
鋏#*scissors*#鋏#はさみ#scissors, pincers, tongs
籐#rattan
聘#*invite*
鑠#captivated
珥#ear bauble
鉤#barb
秩#regularity#秩序#ちつじょ#order, method
慮#prudence#遠慮#えんりょ#reserve, hesitation, forethought#考慮#こうりょ#consideration, deliberation
當#just
峻#*high*
獺#otter
螂#mantis
渇#thirst#渇く#かわく#be thirsty
變#*change*
岐#branch off
蘗#sprout
